,country,director,major character,title,type,year
35,美国 中国台湾 英国 加拿大,李安,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan..,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,剧情 奇幻 冒险,2012
36,美国,Sidney,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,剧情,1957
37,韩国,李濬益,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..,素媛 / 소원 / 许愿  /  希望:为爱重生(台),剧情,2013
38,中国大陆,姜文,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..,鬼子来了 / Devils on the Doorstep,剧情 喜剧,2000
39,日本,宫崎骏,倍赏千惠子 Chieko Baishô / 木村拓..,哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),动画 奇幻 冒险,2004
40,美国 英国,Chris,,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1:神秘的魔法石(港 / 台),奇幻 冒险,2001
41,日本,宫崎骏,田中真弓 Mayumi Tanaka / 横泽启子 Ke..,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,动画 奇幻 冒险,1986
42,中国香港 中国大陆,刘镇伟,周星驰 Stephen Chow / 吴孟达 Man Tat Ng..,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,喜剧 爱情 奇幻 古装,1995
43,意大利 法国,朱塞佩·托纳多雷,安东内拉·阿蒂利 Anton..,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),剧情 爱情,1988
44,美国,威廉·惠勒,奥黛丽·赫本 Audrey Hepburn / 格..,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),喜剧 剧情 爱情,1953
45,美国,马丁·布莱斯,阿尔·帕西诺 Al Pacino / 克里斯..,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,剧情,1992
46,中国大陆,文牧野,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周..,我不是药神 / 中国药神  /  印度药神,剧情 喜剧,2018
47,韩国,杨宇硕,宋康昊 Kang-ho Song / 金英爱 Yeong-ae..,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),剧情,2013
48,美国 德国,大卫·芬奇,爱德华·诺顿 Edward Norton / 布拉..,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),剧情 动作 悬疑 惊悚,1999
49,美国,弗朗西斯·福特·科波拉,阿尔·帕西诺 A..,教父2 / The Godfather: Part II / 教父续集(港)  /  教父II,剧情 犯罪,1974
50,1964(中国大陆),万籁鸣,邱岳峰 Yuefeng Qiu /..,大闹天宫 / 大闹天宫 上下集  /  The Monkey King,1978(中国大陆),1961(中国大陆)
51,美国,彼得·威尔,罗宾·威廉姆斯 Robin Williams / 罗伯..,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),剧情,1989
52,美国,Roger,乔纳森·泰勒·托马..,狮子王 / The Lion King / 狮子王3D,动画 冒险 歌舞,1994
53,美国 新西兰,彼得·杰克逊,伊利亚·伍德 Elijah Wood / 西恩..,指环王2:双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲:双城奇谋  /  指环王II:双塔,剧情 动作 奇幻 冒险,2002
