,country,director,major character,title,type,year
151,中国香港,吴宇森,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国..,英雄本色 / A Better Tomorrow  /  Gangland Boss,剧情 动作 犯罪,1986
152,美国,杰茜·尼尔森,Sean Penn / Dakota Fanning / Mi..,"我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨,他是我爸爸(台)",剧情 家庭,2001
153,美国 德国,保罗·格林格拉斯,马特·达蒙 Matt Damon / ..,谍影重重3 / The Bourne Ultimatum / 叛谍追击3:最后通牒(港)  /  神鬼认证:最后通牒 (台),动作 悬疑 惊悚,2007
154,中国香港 中国大陆,罗启锐,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍..,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,剧情 家庭,2010
155,美国,史蒂文·斯皮尔伯格,泰伊·谢里丹 Tye Sheri..,头号玩家 / Ready Player One / 玩家一号  /  挑战者1号(港),动作 科幻 冒险,2018
156,瑞典,汉内斯·赫尔姆,罗夫·拉斯加德 Rolf Lassgård..,一个叫欧维的男人决定去死 / En man som heter Ove / 明天别再来敲门(台)  /  想死冇咁易(港),剧情,2015
157,中国香港,吴宇森,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung..,纵横四海 / 緃横四海 / Once a Thief,剧情 喜剧 动作 犯罪,1991
158,美国 英国 德国,Chris,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛..,哈利·波特与密室 / Harry Potter and the Chamber of Secrets / 哈利波特2:消失的密室(港 / 台),奇幻 冒险,2002
159,美国 英国,马丁·麦克唐纳,弗兰西斯·麦克多蒙德 France..,"三块广告牌 / Three Billboards Outside Ebbing, Missouri / 广告牌杀人事件(港)  /  意外(台)",剧情 犯罪,2017
160,美国,科克·德·米科,,疯狂原始人 / The Croods / 古鲁家族(港 / 台),喜剧 动画 冒险,2013
161,中国大陆,忻钰坤,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ..,心迷宫 / 殡棺  /  The Coffin in the Mountain,剧情 犯罪 悬疑,2014
162,美国,让-马克·瓦雷,马修·麦康纳 Matthew McCon..,达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台),剧情 传记 同性,2013
163,英国 南非 意大利,特瑞·乔治,唐·钱德尔 Don Cheadle / 苏菲·奥..,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),剧情 传记 历史 战争,2004
164,日本,新海诚,神木隆之介 Ryûnosuke Kamiki / 上..,你的名字。 / 君の名は。 / 你的名字  /  君之名,剧情 爱情 动画,2016
165,中国香港,王家卫,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma..,花样年华 / 花樣年華 / In the Mood for Love,剧情 爱情,2000
166,美国,克里斯托弗·诺兰,盖·皮尔斯 Guy Pearce /..,记忆碎片 / Memento / 凶心人(港)  /  记忆拼图(台),犯罪 剧情 悬疑 惊悚,2000
167,日本,高畑勋,,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,动画 剧情 战争,1988
168,阿根廷 西班牙,达米安·斯兹弗隆,达里奥·葛兰帝内提 Darío..,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),剧情 喜剧 犯罪,2014
169,英国,丹尼·鲍尔,戴夫..,贫民窟的百万富翁 / Slumdog Millionaire / 一百万零一夜(港)  /  贫民百万富翁(台),剧情 爱情,2008
170,中国香港 中国台湾,王家卫,张国荣 Leslie Cheung / 林青霞 Brigitte..,东邪西毒 / 東邪西毒 / Ashes of Time,剧情 动作 爱情 武侠 古装,1994
171,英国 美国 法国,理查德·柯蒂斯,休·格兰特 Hugh Grant / 柯林..,"真爱至上 / Love Actually / 真的恋爱了(港)  /  爱是您,爱是我(台)",喜剧 剧情 爱情,2003
172,美国,达米恩·查泽雷,迈尔斯·特勒 Miles Teller /..,爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台),剧情 音乐,2014
173,美国 澳大利亚,Andy,基努·里维斯 Keanu Reeves..,黑客帝国3:矩阵革命 / The Matrix Revolutions / 22世纪杀人网络3:惊变世纪(港)  /  骇客任务完结篇:最后战役(台),动作 科幻,2003
174,英国 美国,莫滕·泰杜姆,本尼迪克特·康伯巴奇 Benedict C..,模仿游戏 / The Imitation Game / 解码游戏(港)  /  模拟游戏,剧情 传记 战争 同性,2014
175,日本,Seijirô,山本圭 Kei Yamamoto / 井川比佐志 Hisa..,忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,剧情,1987
176,日本,今敏,岩男润子 Junko Iwao / 松本梨香 Rica Matsu..,未麻的部屋 / Perfect Blue / 蓝色恐惧(港 / 台),动画 奇幻 惊悚,1997
177,美国,达伦·阿罗诺夫斯基,娜塔莉·波特曼 Natalie..,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),剧情 惊悚,2010
178,美国,彼特·道格特,,头脑特工队 / Inside Out / 玩转脑朋友(港)  /  脑筋急转弯(台),喜剧 动画 冒险,2015
179,韩国,朴勋政,李政宰 Jung-Jae Lee / 崔岷植 Min-sik..,新世界 / 신세계 / 暗黑新世界(台)  /  New World,剧情 犯罪,2013
180,日本,是枝裕和,绫濑遥 Haruka Ayase / 长泽雅美 M..,海街日记 / 海街diary / 海街女孩日记(港)  /  Kamakura Diary,剧情 家庭,2015
181,日本,藤森雅也,山口胜平 Kappei Yamaguchi / 爱河..,你看起来好像很好吃 / おまえうまそうだな / 你看起来很好吃(台)  /  你看上去好像很好吃,剧情 动画 儿童,2010
182,美国,瑞奇·莫尔,约翰·C·赖利 John C. Reilly / 萨拉..,无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,喜剧 动画 奇幻 冒险,2012
183,美国,巴瑞·莱文森,达斯汀·霍夫曼 Dustin Hoffman ..,雨人 / Rain Man / 手足情未了(港)  /  手足情深,剧情,1988
184,美国,卡洛斯·沙尔丹哈,,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,喜剧 动画 冒险,2002
185,美国,尼克·卡索维茨,瑞恩·高斯林 Ryan Gosling /..,恋恋笔记本 / The Notebook / 忘了·忘不了(港)  /  手札情缘(台),剧情 爱情,2004
186,美国,阿尔弗雷德·希区柯克,安东尼·博金斯 Antho..,惊魂记 / Psycho / 精神病患者  /  触目惊心(港),悬疑 惊悚 恐怖,1960
187,中国大陆,郭柯,,二十二 / Twenty Two  /  22,纪录片,2015
188,英国 澳大利亚,克里斯托弗·史密斯,梅利莎·乔治 Melissa ..,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,剧情 悬疑 惊悚,2009
189,美国,肯尼斯·罗纳根,卡西·阿弗莱克 Casey Affle..,海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港),剧情 家庭,2016
190,日本,是枝裕和,中川雅也 Lily Franky / 安藤樱 Sa..,小偷家族 / 万引き家族 / Shoplifters  /  Une Affaire de Famille,剧情 犯罪 家庭,2018
191,爱尔兰 加拿大 英国 美国,伦尼·阿伯拉罕森,布丽·拉尔森 Brie Larson..,房间 / Room / 不存在的房间(台)  /  抖室(港),剧情 家庭,2015
192,美国 中国香港,斯蒂芬·卓博斯基,雅各布·特伦布莱 Jacob Tr..,奇迹男孩 / Wonder / 奇迹,剧情 儿童 家庭,2017
193,美国,Frank,汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M..,绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里,犯罪 剧情 奇幻 悬疑,1999
194,日本,宫崎骏,高山南 Minami Takayama / 佐久间玲 Re..,魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送,动画 奇幻 冒险,1989
195,美国,斯坦利·多南,吉恩·..,雨中曲 / Singin' in the Rain / 万花嬉春(港 / 台),喜剧 歌舞 爱情,1952
196,法国 英国,杰拉尔·乌里,路易·德·菲耐斯 Louis de Funès..,虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台),喜剧 战争,1966
197,中国大陆 中国香港,宁浩,,疯狂的石头 / Crazy Stone,喜剧 犯罪,2006
198,美国 希腊,理查德·林克莱特,伊桑·霍克 Ethan Hawke ..,爱在午夜降临前 / Before Midnight / 情约半生(港)  /  爱在午夜希腊时(台),剧情 爱情,2013
199,美国,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙 Haley..,人工智能 / Artificial Intelligence: AI / AI人工智慧,剧情 科幻,2001
200,日本,黑泽明,三船敏郎 Toshirô Mifune / 京町子 ..,罗生门 / 羅生門 / Rashomon,剧情 犯罪 悬疑,1950
201,美国 法国,詹姆斯·卡梅隆,阿诺·施瓦辛格 Arnold Schwarz..,终结者2:审判日 / Terminator 2: Judgment Day / 终结者2  /  终结者2:末日审判,动作 科幻,1991
202,泰国,普特鹏·普罗萨卡·那·萨克那卡林,,初恋这件小事 / สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港)  /  暗恋那点小事,剧情 喜剧 爱情,2010
203,中国大陆 中国香港,陆川,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L..,可可西里 / Kekexili: Mountain Patrol,剧情 犯罪,2004
204,英国 美国,斯坦利·库布里克,凯尔·杜拉 Keir Dullea / ..,2001太空漫游 / 2001: A Space Odyssey / 2001:星际漫游  /  2001:太空奥德赛,科幻 惊悚 冒险,1968
205,美国,茂文·勒鲁瓦,费雯·丽 Vivien Leigh / 罗伯特·..,魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦,剧情 爱情 战争,1940
206,法国 瑞士 西班牙 美国 阿联酋,雅克·贝汉,,海洋 / Océans / Oceans  /  海洋,纪录片,2009
207,美国,Charles,查理·卓别林 Charles Chaplin / 弗吉尼亚·..,城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,喜剧 剧情 爱情,1931
208,中国台湾,杨德昌,张震 Chen Chang / 杨静怡 Lisa Yang / 张..,牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day,剧情 犯罪,1991
209,美国,爱德华·兹威克,布拉德·皮特 Brad Pitt / 安东..,燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台),剧情 爱情 战争 西部,1994
210,中国台湾 中国大陆 美国 中国香港,李安,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ..,"色,戒 / 色|戒  /  色·戒",剧情 爱情 情色,2007
211,日本,细田守,仲里依纱 Riisa Naka / 石田卓也 Takuya..,穿越时空的少女 / 時をかける少女 / 跳跃吧!时空少女(台)  /  Toki o kakeru shôjo,剧情 爱情 科幻 动画,2006
212,中国香港 中国大陆,李惠民,张曼玉 Maggie Cheung / 林青霞 Brigitte ..,新龙门客栈 / 新龍門客棧 / New Dragon Gate Inn,动作 爱情 武侠 古装,1992
213,中国香港 中国大陆,徐克,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ..,青蛇 / Green Snake,剧情 爱情 奇幻 古装,1993
214,美国 加拿大,邓肯·琼斯,杰克·吉伦哈尔 Jake Gyllenhaal / ..,源代码 / Source Code / 启动原始码(台)  /  危机解密(港),科幻 悬疑 惊悚,2011
215,德国 美国,Quentin,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M..,无耻混蛋 / Inglourious Basterds / 希魔撞正杀人狂(港)  /  恶棍特工(台),剧情 犯罪,2009
216,英国 美国,Mike,,哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire / 哈利波特4:火杯的考验(港 / 台),奇幻 冒险,2005
217,意大利,保罗·格诺维瑟,马可·贾利尼 Marco Giallini ..,完美陌生人 / Perfetti sconosciuti / 完美谎情(港)  /  波动的信息分享,剧情 喜剧,2016
218,美国,罗伯·莱纳,杰克·尼科尔森 Jack Nicholson / 摩根..,遗愿清单 / The Bucket List / 玩转身前事(港)  /  一路玩到挂(台),冒险 喜剧 剧情,2007
219,中国香港,王晶,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ..,九品芝麻官 / 九品芝麻官之白面包青天  /  Hail the Judge,剧情 喜剧 古装,1994
220,中国香港,王家卫,张国荣 Leslie Cheung / 张曼玉 Maggie C..,阿飞正传 / 阿飛正傳 / Days of Being Wild,犯罪 剧情 爱情,1990
221,中国台湾,黄信尧,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh..,大佛普拉斯 / The Great Buddha+,剧情 喜剧,2017
222,美国 德国,爱德华·兹威克,莱昂纳多·迪卡普里奥 Leonardo ..,血钻 / Blood Diamond / 血钻石(台)  /  血腥钻石,剧情 惊悚 冒险,2006
223,美国 德国,保罗·格林格拉斯,马特·达蒙 Matt Damon / ..,谍影重重2 / The Bourne Supremacy / 叛谍追击2:机密圈套(港)  /  神鬼认证:神鬼疑云(台),动作 悬疑 惊悚,2004
224,印度,阿米尔·汗,达席尔·萨法瑞 Darsheel Safary / 阿..,地球上的星星 / Taare Zameen Par / 心中的小星星(台)  /  每一个孩子都是特别的,剧情 儿童 家庭,2007
225,德国 法国 西班牙 美国,汤姆·提克威,本·卫肖 Ben Whishaw / 艾伦·瑞克..,香水 / Perfume: The Story of a Murderer / 香水:一个杀人犯的故事  /  香水:一个谋杀犯的故事,剧情 犯罪 奇幻,2006
226,澳大利亚 美国,乔治·米勒,汤姆·哈迪 Tom Hardy / 查理兹·塞..,疯狂的麦克斯4:狂暴之路 / Mad Max: Fury Road / 末日先锋:战甲飞车(港)  /  疯狂麦斯:愤怒道(台),动作 科幻 冒险,2015
227,日本,是枝裕和,阿部宽 Hiroshi Abe / 夏川结衣 Yu..,步履不停 / 歩いても 歩いても / 横山家之味(港 / 台),剧情 家庭,2008
228,美国 法国,安德鲁·尼科尔,尼古拉斯·凯奇 Nicolas Cage /..,战争之王 / Lord of War / 军火之王(台 / 港),剧情 犯罪,2005
229,美国 德国 捷克,道格·里曼,马特·达蒙 Matt Damon / 弗兰卡·波坦..,谍影重重 / The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台),动作 悬疑 惊悚,2002
230,美国 英国,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼 Em..,彗星来的那一夜 / Coherence / 相干性  /  相干效应,科幻 悬疑 惊悚,2013
231,英国,丹尼·博伊尔,伊万·麦克格雷格 Ewan McGregor / ..,猜火车 / Trainspotting / 迷幻列车(港)  /  定位的火车,剧情 犯罪,1996
232,英国 美国,布莱恩·辛格,拉米·马雷克 Rami Malek / 本·哈..,波西米亚狂想曲 / Bohemian Rhapsody / 波希米亚狂想曲:摇滚传说(港)  /  波希米亚狂想曲(台),剧情 传记 同性 音乐,2018
233,美国 德国,史蒂芬·戴德利,凯特·温丝莱特 Kate Winslet ..,朗读者 / The Reader / 为爱朗读(台)  /  读爱(港),剧情 爱情,2008
234,德国,丹尼斯·甘塞尔,尤尔根·沃格尔 Jürgen Vogel ..,浪潮 / Die Welle / 恶魔教室(台)  /  白恤暴潮(港),剧情 惊悚,2008
235,印度,卡比尔·汗,萨尔曼·汗 Salman Khan / 哈莎莉·马..,小萝莉的猴神大叔 / Bajrangi Bhaijaan / 娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台),剧情 喜剧 动作,2015
236,美国,约翰·卡尼,凯拉·奈特莉 Keira Knightley / 马克..,再次出发之纽约遇见你 / Begin Again / 再次出发  /  歌曲改变人生,喜剧 爱情 音乐,2013
237,日本,小津安二郎,笠智众 Chishû Ryû / 原节..,东京物语 / 東京物語 / 东京故事  /  东京纪行,剧情 家庭,1953
238,中国大陆,周申,任素汐 Suxi Ren / 大力 Da Li ..,驴得水 / Mr. Donkey,剧情 喜剧,2016
239,美国,托马斯·麦卡锡,马克·鲁弗洛 Mark Ruffalo /..,聚焦 / Spotlight / 焦点追击(港)  /  惊爆焦点(台),剧情 传记,2015
240,英国,克里斯托弗·诺兰,杰里米·西奥伯德 Jeremy..,追随 / Following / 跟踪(台)  /  致命追踪,犯罪 悬疑 惊悚,1998
241,美国,安德鲁·尼科尔,伊桑·霍克 Ethan Hawke / 乌玛..,千钧一发 / Gattaca / 变种异煞(港)  /  自然人,剧情 科幻 惊悚,1997
242,韩国,秋昌民,宋在河 Jae-ho Song / 李顺载 Soon-jae..,"我爱你 / 그대를 사랑합니다 / 爱你  /  爱,是一生相伴(台)",剧情 爱情,2011
243,伊朗 法国,阿斯哈·法哈蒂,佩曼·莫阿迪 Peyman Moadi /..,一次别离 / جدایی نادر از سیمین / 伊朗式分居(港)  /  分居风暴(台),剧情 家庭,2011
244,美国,雷德利·斯科特,乔什·哈奈特 Josh Hartnett / ..,黑鹰坠落 / Black Hawk Down / 黑鹰15小时(港)  /  黑鹰计划(台),动作 历史 战争,2001
245,美国 澳大利亚,Andy,基努·里维斯 Keanu Reeves..,黑客帝国2:重装上阵 / The Matrix Reloaded / 22世纪杀人网络2:决战未来(港)  /  骇客任务:重装上阵(台),动作 科幻,2003
246,美国 俄罗斯,阿尼什·查甘蒂,约翰·赵 John Cho / 米切尔..,网络谜踪 / Searching / 人肉搜寻(港)  /  人肉搜索(台),剧情 犯罪 悬疑 惊悚,2018
247,英国 美国,Stanley,Malcolm McDowell / Patrick Magee / Michael..,发条橙 / A Clockwork Orange / 发条桔子  /  发条橙子,犯罪 剧情 科幻,1971
248,中国大陆,陆庆屹,陆运坤 Yunkun Lu / 李桂贤 Guixian Li / ..,四个春天 / Four Springs,纪录片 家庭,2017
249,美国,史蒂文·斯皮尔伯格,亨利·托马斯 Henry Tho..,E.T. 外星人 / E.T.: The Extra-Terrestrial / 外星人E.T.  /  外星人,剧情 科幻,1982
